doc_id,fund_code,fund_name,period,period_end,schema_version,industry_code,industry_name,fair_value_cny,nav_ratio_pct,source_page,announcement_url,file_url,source_pdf_sha256
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,C,合成制造业,120000000.0,12.0,3,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,I,合成信息技术业,180000000.0,18.0,3,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,J,合成金融业,80000000.0,8.0,3,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,L,合成商务服务业,60000000.0,6.0,3,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q3,SYN001,稳健成长合成基金,2025Q3,2025-09-30,synthetic_v1,M,合成研发服务业,100000000.0,10.0,3,https://example.invalid/synthetic/SYN001_2025Q3,,502d4ca81207ce6676f5305cd29e494345f8ff7f973a6bdd86b65fd3d9ed7ba3
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,C,合成制造业,116000000.0,11.6,3,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,I,合成信息技术业,188000000.0,18.8,3,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,J,合成金融业,83000000.0,8.3,3,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,L,合成商务服务业,60000000.0,6.0,3,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
SYN001_2025Q4,SYN001,稳健成长合成基金,2025Q4,2025-12-31,synthetic_v1,M,合成研发服务业,106000000.0,10.6,3,https://example.invalid/synthetic/SYN001_2025Q4,,7f2646fd79f678b1a00af912134c13975826df87ad3c8c1417731a7488992d4e
